ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-10-01,6913.701952472453,4987.005295613303,8089.451538357016,6913.701952472453,6913.701952472453,-403.263216696073,-403.263216696073,-403.263216696073,-403.263216696073,-403.263216696073,-403.263216696073,0.0,0.0,0.0,6510.43873577638
2018-11-01,7007.416188433678,5099.524853090399,8096.711477969436,7007.416188433678,7007.416188433678,-422.94581624792215,-422.94581624792215,-422.94581624792215,-422.94581624792215,-422.94581624792215,-422.94581624792215,0.0,0.0,0.0,6584.470372185756
2018-12-01,7097.788207470259,5246.606221417054,8603.155199617624,7097.788207470259,7097.788207470259,-176.6787054355708,-176.6787054355708,-176.6787054355708,-176.6787054355708,-176.6787054355708,-176.6787054355708,0.0,0.0,0.0,6921.109502034688
2019-01-01,7191.172627141392,5718.1825865945075,8945.300346203087,7191.172627141392,7191.172627141392,108.31031394040112,108.31031394040112,108.31031394040112,108.31031394040112,108.31031394040112,108.31031394040112,0.0,0.0,0.0,7299.482941081793
2019-02-01,7284.557046812523,5786.757503444484,8969.072194479771,7284.557046812523,7284.557046812523,64.48396759649603,64.48396759649603,64.48396759649603,64.48396759649603,64.48396759649603,64.48396759649603,0.0,0.0,0.0,7349.041014409019
2019-03-01,7368.904264579997,5623.488359135504,8820.480419430567,7368.904264579997,7368.904264579997,-34.03786812814634,-34.03786812814634,-34.03786812814634,-34.03786812814634,-34.03786812814634,-34.03786812814634,0.0,0.0,0.0,7334.866396451851
2019-04-01,7462.283237030794,5943.557222188801,9210.994980924328,7462.283237030794,7462.283237030794,165.5369292943012,165.5369292943012,165.5369292943012,165.5369292943012,165.5369292943012,165.5369292943012,0.0,0.0,0.0,7627.820166325096
2019-05-01,7552.649984563822,6333.280849460807,9625.662747190372,7552.649984563822,7552.649984563822,515.7009887035831,515.7009887035831,515.7009887035831,515.7009887035831,515.7009887035831,515.7009887035831,0.0,0.0,0.0,8068.350973267405
2019-06-01,7646.028957014619,5307.762736697379,8507.413330515596,7646.028957014619,7646.028957014619,-722.3870278817384,-722.3870278817384,-722.3870278817384,-722.3870278817384,-722.3870278817384,-722.3870278817384,0.0,0.0,0.0,6923.64192913288
2019-07-01,7736.3956991154355,5859.404871048385,8977.808000857065,7736.3956991154355,7736.3956991154355,-307.2824949143292,-307.2824949143292,-307.2824949143292,-307.2824949143292,-307.2824949143292,-307.2824949143292,0.0,0.0,0.0,7429.113204201106
2019-08-01,7829.7746659529475,5795.0977675449085,8958.138838561576,7829.7746659529475,7829.7746659529475,-368.269614797755,-368.269614797755,-368.269614797755,-368.269614797755,-368.269614797755,-368.269614797755,0.0,0.0,0.0,7461.505051155193
2019-09-01,7923.15363279046,5699.794335475118,8817.483490955601,7923.15363279046,7923.15363279046,-653.1836043780919,-653.1836043780919,-653.1836043780919,-653.1836043780919,-653.1836043780919,-653.1836043780919,0.0,0.0,0.0,7269.970028412367
